Recipe,
Sweet & Sour Chicken,
Ingredients,
Chicken,1
Salt & Peper,1
Cornstarch,1
Eggs,2
Oil,1
Sugar,1
Apple Cider Vinegar,1
Ketchup,1
Soy Sauce,1
Garlic Powder,1
Directions,
Preheat oven to 325 degrees F. Oil a 9x13 pan.,
"Whisk together 3/4c. Sugar, 1/2c. Apple Cider Vinegar, 1/4c. Ketchup, 1Tbsp Soy Sauce and 1/2Tsp. Garlic Powder for the sauce.",
"Cut the chicken into 1"" cubes.",
Season the chicken with salt and peper. Add the cornstarch and mix until chicken is coated.,
"Dip chicken in egg and cook in a pan with oil until golden brown, about 2 minutes.",
Let chicken sit on a paper towel to remove excess oil.,
Combine cooked chicken and sauce in 9x13 pan.,
"Bake for about 55 minutes, mixing every 15 minutes.",
